Id,Ranking,Name,Release_Date,Run_Time,IMDB_Rating
116,116,"I Swear",1962,"2h 9m",8.4
117,117,"A Clockwork Orange",1989,"2h 7m",8.2
118,118,Metropolis,1973,"2h 9m",8.2
119,119,1917,2025,2h,8.2
120,120,Snatch,1971,"2h 16m",8.2
121,121,"The Wolf of Wall Street",1927,"2h 30m",8.2
122,122,Downfall,2019,"1h 59m",8.2
123,123,"The Truman Show",2000,"1h 44m",8.2
124,124,"L.A. Confidential",2013,3h,8.2
125,125,Dangal,2004,"2h 36m",8.3
126,126,"Shutter Island",1998,"1h 43m",8.2
127,127,"Bicycle Thieves",1997,"2h 18m",8.2
128,128,"Green Book",2016,"2h 41m",8.2
129,129,Oppenheimer,2010,"2h 18m",8.2
130,130,"Judgment at Nuremberg",1948,"1h 29m",8.3
131,131,"Attack on Titan: The Last Attack",2018,"2h 10m",9.0
132,132,"Batman Begins",2023,3h,8.2
133,133,"Project Hail Mary",1961,"2h 59m",8.2
134,134,"Jurassic Park",2024,"2h 25m",8.2
135,135,"For a Few Dollars More",2005,"2h 20m",8.2
136,136,Hamilton,2026,"2h 36m",8.3
137,137,"Taxi Driver",1993,"2h 7m",8.2
138,138,"Some Like It Hot",1965,"2h 12m",8.2
139,139,"There Will Be Blood",2020,"2h 40m",8.2
140,140,"The Kid",1976,"1h 54m",8.2
141,141,"All About Eve",1959,"2h 1m",8.2
142,142,"The Sixth Sense",2007,"2h 38m",8.2
143,143,Ran,2020,"1h 37m",8.2
144,144,Casino,1921,58m,8.2
145,145,"The Thing",1950,"2h 18m",8.2
146,146,"No Country for Old Men",1999,"1h 47m",8.2
147,147,Prisoners,1985,"2h 40m",8.2
148,148,"Top Gun: Maverick",1995,"2h 58m",8.2
149,149,"Kill Bill: Vol. 1",1982,"1h 49m",8.2
150,150,"Pan's Labyrinth",2007,"2h 2m",8.2
151,151,Unforgiven,2013,"2h 33m",8.2
152,152,"A Beautiful Mind",2022,"2h 10m",8.2
153,153,"The Treasure of the Sierra Madre",2003,"1h 51m",8.2
154,154,"Finding Nemo",2006,"1h 58m",8.2
155,155,Klaus,1992,"2h 10m",8.2
156,156,Yojimbo,2001,"2h 15m",8.2
157,157,"The Great Escape",2004,"1h 59m",8.2
158,158,"Demon Slayer: Kimetsu No Yaiba Infinity Castle",1948,"2h 6m",8.4
159,159,"Monty Python and the Holy Grail",2003,"1h 40m",8.1
160,160,"Dial M for Murder",2019,"1h 36m",8.1
161,161,"The Secret in Their Eyes",1961,"1h 50m",8.2
162,162,"Gone with the Wind",1980,"2h 4m",8.2
163,163,"Lock, Stock and Two Smoking Barrels",1963,"2h 52m",8.1
164,164,Chinatown,2025,"2h 35m",8.1
165,165,"The Best of Youth",1975,"1h 31m",8.4
166,166,"V for Vendetta",1954,"1h 45m",8.1
167,167,"Catch Me If You Can",2009,"2h 9m",8.1
168,168,"Inside Out",1939,"3h 58m",8.1
169,169,Trainspotting,1998,"1h 47m",8.1
170,170,"Three Billboards Outside Ebbing, Missouri",1974,"2h 10m",8.1
171,171,Rashomon,2003,"6h 14m",8.1
172,172,"Dead Poets Society",2005,"2h 12m",8.1
173,173,"The Bridge on the River Kwai",2002,"2h 21m",8.1
174,174,"Harry Potter and the Deathly Hallows: Part 2",2015,"1h 35m",8.1
175,175,"The Wild Robot",1996,"1h 33m",8.2
176,176,"Barry Lyndon",2017,"1h 55m",8.1
177,177,Ben-Hur,1950,"1h 28m",8.1
178,178,Warrior,1989,"2h 8m",8.1
179,179,Fargo,1957,"2h 41m",8.1
180,180,"Hacksaw Ridge",2011,"2h 10m",8.1
181,181,"Million Dollar Baby",2024,"1h 42m",8.1
182,182,"Mad Max: Fury Road",1975,"3h 5m",8.1
183,183,"Children of Heaven",1959,"3h 32m",8.2
184,184,"My Neighbour Totoro",2011,"2h 20m",8.1
185,185,"Raging Bull",1996,"1h 38m",8.1
186,186,Ratatouille,2016,"2h 19m",8.1
187,187,"Gran Torino",2004,"2h 12m",8.1
188,188,"12 Years a Slave",2015,2h,8.1
189,189,"The Grand Budapest Hotel",1997,"1h 29m",8.1
190,190,"Memories of Murder",1988,"1h 26m",8.1
191,191,"How to Train Your Dragon",1980,"2h 9m",8.1
192,192,"Before Sunrise",2007,"1h 51m",8.1
193,193,"Blade Runner",2008,"1h 56m",8.1
194,194,"Monsters, Inc.",2013,"2h 14m",8.1
195,195,"Gone Girl",2014,"1h 39m",8.1
196,196,"Spider-Man: No Way Home",2003,"2h 11m",8.1
197,197,Jaws,2010,"1h 38m",8.1
198,198,"Le Mans '66",1995,"1h 41m",8.1
199,199,"In the Name of the Father",1982,"1h 57m",8.1
200,200,"Wild Tales",2001,"1h 32m",8.1
201,201,"The Gold Rush",2014,"2h 29m",8.1
202,202,"Sherlock Jr.",2021,"2h 28m",8.1
203,203,"Mary and Max",1975,"2h 4m",8.1
204,204,"The Chaos Class Failed the Class",2019,"2h 32m",8.4
205,205,"The Deer Hunter",1993,"2h 13m",8.1
206,206,"The Wages of Fear",2014,"2h 2m",8.1
207,207,"The General",1925,"1h 35m",8.1
208,208,Logan,1924,45m,8.1
209,209,Rocky,2009,"1h 32m",8.1
210,210,"A Silent Voice: The Movie",1975,"1h 35m",8.2
211,211,"Pirates of the Caribbean: The Curse of the Black Pearl",1978,"3h 3m",8.1
212,212,"Chainsaw Man - The Movie: Reze Arc",1953,"2h 36m",8.3
213,213,"Mr. Smith Goes to Washington",1926,"1h 18m",8.1
214,214,"Tokyo Story",2017,"2h 17m",8.1
215,215,"La haine",1976,2h,8.1
216,216,Spotlight,2016,"2h 10m",8.1
217,217,"On the Waterfront",2003,"2h 23m",8.1
218,218,"The Sound of Music",2025,"1h 40m",8.1
219,219,"Wild Strawberries",1939,"2h 9m",8.1
220,220,"Jai Bhim",1953,"2h 17m",8.6
221,221,"The Terminator",1995,"1h 38m",8.1
222,222,Maharaja,2015,"2h 9m",8.3
223,223,"The Third Man",1954,"1h 48m",8.1
224,224,"The Best Years of Our Lives",1965,"2h 54m",8.1
225,225,"The Big Lebowski",1957,"1h 32m",8.1
226,226,"Before Sunset",2021,"2h 44m",8.1
227,227,Room,1984,"1h 47m",8.1
228,228,"Hachi: A Dog's Tale",2024,"2h 21m",8.1
229,229,"The Seventh Seal",1949,"1h 44m",8.1
230,230,"Hotel Rwanda",1946,"2h 50m",8.1
231,231,Platoon,1998,"1h 57m",8.1
232,232,"The Exorcist",2004,"1h 20m",8.1
233,233,"The Iron Giant",2004,"1h 55m",8.1
234,234,Rush,2015,"1h 58m",8.1
